,Topics,Alpha,Beta,Auto Coherence Umass,Intra/Inter Similarity word2vec10 1st version,Intra/Inter Similarity word2vec20 1st version,Intra/Inter Similarity word2vecGoogle 1st version,Intra/Inter Similarity word2vec10 2nd version,Intra/Inter Similarity word2vec20 2nd version,Intra/Inter Similarity word2vecGoogle 2nd version,NumberOfWordsNotInGoogleW2v,Topic Distance JS,Auto Coherence without pretrained,Auto Coherence with word2vec10,Auto Coherence with word2vec20,Auto Coherence with word2vecGoogle
83,24,0.01,symmetric,-3.225347988766685,1.1996766192316743,1.1887579673873685,0.7277423759707187,1.096292843778034,1.089764382269909,1.009794528606564,"(6, 350)",0.8046888369247688,0.7282067,0.49630895,0.478273,0.61321414
84,24,0.31,0.01,-3.3113381091141534,1.210577066582542,1.1990151040686228,0.7237057963306951,1.0958193150113218,1.0898788331049938,1.0083607214684605,"(5, 381)",0.8100637344164454,0.71586734,0.48666254,0.47172257,0.6116242
85,24,0.31,0.31,-3.3345375017426284,1.210816635194257,1.1973466090570848,0.7211649697443313,1.0957590216151814,1.0892347359727423,1.0081388943314735,"(5, 378)",0.8092215157810324,0.71954197,0.48660645,0.46992993,0.6049349
86,24,0.31,0.61,-3.327533237880553,1.2203787758839733,1.207814140986461,0.7237766458847057,1.0995121680800377,1.0929697805630687,1.0088860314062829,"(5, 382)",0.8082182526288351,0.7214748,0.4962715,0.4797845,0.60582477
87,24,0.31,symmetric,-3.286907576923486,1.206696029461256,1.1950482299214784,0.7230594359428372,1.0945515849722447,1.0884833434717804,1.008583990060596,"(5, 380)",0.8099671417050691,0.7165342,0.48522374,0.46956655,0.607668
88,24,0.61,0.01,-3.1775375589108656,1.226198694958896,1.2205248902219985,0.7302908258414794,1.10408796573596,1.0987477304126756,1.008955422410185,"(5, 421)",0.821645955402959,0.7378184,0.50407976,0.48984525,0.6237504
89,24,0.61,0.31,-3.0863882995180028,1.213313998456225,1.2073189207725554,0.7225364084312483,1.0981675451893131,1.092620635160839,1.0071087445213986,"(0, 418)",0.8206904070508648,0.73279256,0.49127522,0.47686863,0.6173145
90,24,0.61,0.61,-3.2835522264039247,1.2357229112594297,1.226749913113033,0.7330610641494406,1.105024851059765,1.098876079048546,1.0092920355405146,"(6, 425)",0.8216672866583292,0.7324464,0.50346714,0.4880898,0.6259201
91,24,0.61,symmetric,-3.137470710309314,1.2213920188385692,1.2146605659785916,0.724375470999835,1.1009557059733852,1.0950703225512073,1.0080744862986557,"(0, 422)",0.8212522008155791,0.7327562,0.4969592,0.4818528,0.6161383
92,24,symmetric,0.01,-3.3280481044751773,1.204412114424544,1.194205161440988,0.7325855820375462,1.096790806341176,1.0900711628506818,1.0110803568340965,"(5, 360)",0.8044364619465257,0.72583133,0.49669313,0.47792912,0.61736906
